ID,true_data,16000,5000,8000
468,19.8029995,19.49006462,19.34168243,19.71217918
469,21.97599983,20.98019028,20.19840813,20.61590767
470,22.94199944,21.94369316,21.22576141,21.60390472
471,22.45899963,22.42398643,22.52373314,22.45013237
472,22.94199944,23.43071365,24.21789742,23.63427734
473,24.06900024,24.55272102,26.48942757,25.95193863
474,25.92099953,26.96910667,29.16654778,29.01446533
475,28.57699966,31.55752373,31.32943153,31.40083122
476,30.51000023,33.1559906,32.54392624,33.03466415
477,32.20000076,34.10358047,33.20433807,33.91324997
478,31.71699905,34.29181671,33.56945419,34.32097244
479,33.24599838,34.46080017,33.82784271,34.36182785
480,33.97100067,34.25723648,28.05757523,31.24404907
481,34.21300125,34.81385803,32.85593796,33.84454727
482,34.21300125,35.09666824,35.66719818,34.61531448
483,34.85599899,34.95135117,35.39458466,34.66256714
484,34.93700027,35.54275131,35.42887115,35.25285721
485,35.09799957,36.2434082,35.80386353,35.63194656
486,36.4659996,36.75392914,36.46985626,36.2701416
487,37.5929985,37.22688675,36.84601593,37.17931366
488,37.51300049,37.17374039,35.03843308,36.85196304
489,33.24599838,34.98502731,30.09137535,33.97684097
490,26.48399925,27.75361633,24.91109467,27.70796013
491,23.58699989,25.83379936,24.13728142,25.03937149
492,24.55200005,25.16628075,24.73405647,25.46256828
493,25.68000031,25.71300316,25.91085815,25.55696869
494,26.00099945,26.84926796,27.751297,26.30735397
495,28.33600044,29.31275558,29.96557236,28.97729111
496,30.10700035,30.20718765,31.39173698,30.82780075
497,30.67000008,30.93693733,31.86056709,32.16313171
498,31.87800026,31.44608498,31.99250793,33.0042038
499,32.52199936,31.77181816,32.06123352,33.05485153
500,31.55599976,31.93323135,32.11111069,32.80420303
501,31.31399918,31.9503231,32.14968872,32.47293091
502,32.03900146,31.67873383,32.18480682,32.47387314
503,32.52199936,31.75637436,32.2117691,32.48117447
504,32.27999878,32.20586777,32.23543549,32.51710129
505,32.03900146,32.38605881,32.24921036,32.54062271
506,31.79800034,32.33515549,32.25560379,32.55237198
507,31.95800018,32.38106918,32.2445755,32.5476799
508,31.39500046,32.65600967,32.21231461,32.51584625
509,31.63599968,33.00627518,32.13739014,32.42848587
510,31.15299988,33.1760025,31.9947567,32.21401215
511,30.99300003,32.95578003,31.72486687,31.68462753
512,31.07299995,32.24942017,31.2437458,30.40391922
513,29.86499977,31.20024681,30.44231796,28.3076973
514,27.20899963,29.56270981,29.35299492,27.44234085
515,27.45100021,27.82651329,28.37579155,27.67216873
516,26.64599991,27.50771141,28.05557442,27.73607254
517,26.64599991,28.05513573,28.30801773,27.88271523
518,26.00099945,28.08813095,28.70080376,28.36354828
519,27.28899956,28.54296303,29.05849266,29.16288567
520,27.93400002,28.94014549,28.67566872,27.56528854
521,28.25499916,30.2774601,28.95421982,29.17060852
522,28.97999954,30.67559052,29.10829163,29.05634308
523,29.22200012,30.77882767,29.76398659,28.92085648
524,29.46299934,30.5555439,29.50059891,28.99082184
525,29.30200005,29.65277863,28.98605919,29.12954521
526,28.09399986,29.16418839,28.24630165,28.96545792
527,28.25499916,28.57555771,27.4608593,28.02090073
528,27.37000084,27.92495346,26.58203888,26.80241776
529,25.51799965,27.23463821,25.62319756,26.29759598
530,25.19599915,25.96225929,24.57380486,25.11185074
531,23.9090004,24.82606506,23.44448662,24.22438049
532,21.89599991,23.09813309,22.31368065,22.76147079
533,20.4470005,22.76371956,21.41555214,21.481884
534,21.25200081,21.31212235,21.07711792,20.784729
535,21.5739994,22.0027523,21.31575775,20.81074905
536,21.49300003,22.15969276,21.71089363,21.64700699
