ID,true_data,pre_data
302,28.5769996643,26.5724048615
303,31.6359996796,28.6580200195
304,32.2000007629,30.4543704987
305,32.763999939,31.5600147247
306,34.9370002747,32.1861953735
307,34.4539985657,32.3812561035
308,34.0509986877,32.3501853943
309,34.0509986877,32.2550430298
310,34.0509986877,32.2034759521
311,33.6489982605,32.1896591187
312,33.9710006714,32.2112884521
313,34.0509986877,32.2747650146
314,34.3740005493,32.3867225647
315,35.4199981689,32.5513572693
316,34.9370002747,32.7529983521
317,35.016998291,32.9537734985
318,35.5,33.0868682861
319,34.6150016785,33.0426330566
320,34.5349998474,29.6139965057
321,33.408000946,31.1880664825
322,31.4759998322,30.4942264557
323,30.8309993744,30.187959671
324,30.5100002289,29.8466682434
325,30.9120006561,28.9352321625
326,30.4290008545,28.6203937531
327,28.9799995422,29.0910263062
328,30.3479995728,29.763092041
329,29.0599994659,29.9485549927
330,29.9459991455,29.9315757751
331,29.7049999237,29.8086433411
332,29.7849998474,29.4245758057
333,28.7390003204,28.7507534027
334,27.611000061,28.0301761627
335,27.611000061,27.0156822205
336,26.0009994507,25.8060016632
337,25.3579998016,25.0269737244
338,24.9549999237,24.108877182
339,23.5060005188,23.0751438141
340,21.4130001068,22.0026416779
341,21.2520008087,21.2268390656
342,20.125,20.9905986786
343,21.4130001068,21.465423584
344,20.7689990997,21.8125076294
345,23.0230007172,22.1359481812
346,22.3789997101,21.7547149658
347,21.6539993286,21.6407966614
348,21.2520008087,21.4525089264
349,21.4930000305,20.7226276398
350,21.7350006104,20.4297828674
351,21.4130001068,20.4434299469
352,20.6879997253,20.3366546631
353,20.4470005035,20.1552143097
354,20.6879997253,20.0571460724
355,20.2049999237,19.9399623871
356,20.4470005035,19.5690078735
357,19.3199996948,19.1780223846
358,19.8829994202,18.831571579
359,18.9979991913,18.4805583954
360,19.079000473,18.4943790436
361,19.079000473,17.6182422638
362,19.079000473,17.1555900574
363,18.031999588,16.9721565247
364,18.2740001678,16.6998081207
365,18.1930007935,16.4859638214
366,18.2740001678,16.4105072021
367,18.031999588,16.5184841156
368,18.4340000153,16.5820064545
369,17.9510002136,16.7637882233
370,19.079000473,17.2152919769
371,19.8829994202,17.8037052155
372,19.8829994202,18.4443302155
373,21.4930000305,19.446805954
374,21.8959999084,20.3922634125
375,21.9759998322,21.1299514771
376,22.5400009155,22.1849517822
377,23.263999939,23.7435436249
378,25.5990009308,26.2523479462
379,28.9799995422,29.040019989
380,30.9930000305,31.0267848969
381,32.2799987793,32.5789108276
382,32.9239997864,33.1919250488
383,33.5690002441,33.6846694946
384,34.2130012512,33.9898605347
385,33.7290000916,34.2584381104
386,34.6949996948,34.4452705383
387,34.6150016785,34.5867652893
388,34.6150016785,34.6991577148
389,34.6949996948,35.0872573853
390,34.5349998474,36.1757659912
391,35.1790008545,36.5734367371
392,35.0979995728,35.8961334229
393,33.4879989624,32.6640663147
394,26.8869991302,27.5878124237
395,24.9549999237,25.4427433014
396,25.7600002289,25.2150440216
397,25.4379997253,25.901966095
398,27.1280002594,27.5030460358
399,30.5900001526,29.6994533539
400,30.6700000763,32.5368728638
401,32.361000061,30.1988430023
402,32.84400177,30.8280353546
403,33.0849990845,32.3750457764
404,31.3950004578,32.0200805664
405,31.9580001831,32.5258636475
406,32.2000007629,32.6182136536
407,32.361000061,32.7066268921
408,32.2000007629,32.7421951294
409,32.2799987793,32.7656021118
410,33.3269996643,32.7968444824
411,33.7290000916,32.8591117859
412,32.763999939,32.9575004578
413,34.3740005493,33.0749549866
414,34.2130012512,33.1342811584
415,34.3740005493,32.988067627
416,34.0509986877,32.3555793762
417,33.7290000916,30.9040241241
418,30.5100002289,29.4906711578
419,30.0259990692,29.1232128143
420,29.5429992676,29.1460342407
421,29.6240005493,29.3567619324
422,28.4969997406,29.6924934387
423,28.8990001678,30.2250156403
424,28.8190002441,30.6835422516
425,28.7390003204,30.7074222565
426,28.658000946,30.5432300568
427,28.5769996643,30.1973896027
428,28.2549991608,29.5038299561
429,28.1749992371,28.5830173492
430,27.2889995575,27.2940273285
431,26.968000412,26.2355556488
432,25.5990009308,25.6008968353
433,24.7940006256,24.6552677155
434,24.2299995422,23.6406707764
435,23.0230007172,22.5099582672
436,21.8159999847,21.6633090973
437,20.8500003815,21.4932880402
438,21.0909996033,22.1204624176
439,21.9759998322,22.7511730194
440,22.7010002136,23.6754436493
441,22.7010002136,21.6725635529
442,22.6210002899,22.2102489471
443,21.9759998322,22.2365016937
444,21.7350006104,21.8598537445
445,21.170999527,20.3224830627
446,21.7350006104,20.782907486
447,22.2989997864,20.4776210785
448,22.2989997864,20.6920318604
449,21.5739994049,20.3001346588
450,20.3659992218,20.1645641327
451,20.2049999237,19.9732189178
452,20.3659992218,19.7015972137
453,19.9640007019,19.3836040497
454,18.9169998169,19.0145606995
455,19.3199996948,18.6229820251
456,18.2740001678,18.2349357605
457,17.6289997101,17.8786678314
458,18.1930007935,17.5887203217
459,18.4340000153,17.4208660126
460,18.6760005951,17.3667259216
461,18.5949993134,17.1748905182
462,18.3540000916,16.9206905365
463,17.6289997101,16.8556194305
464,19.2399997711,16.9827060699
465,18.9979991913,17.3344135284
466,17.9510002136,17.9105472565
467,19.6420001984,18.497625351
468,19.8029994965,19.4373989105
469,21.9759998322,20.2738819122
470,22.9419994354,21.3312320709
471,22.4589996338,22.3015384674
472,22.9419994354,23.4195137024
473,24.0690002441,25.6111831665
474,25.920999527,28.4379673004
475,28.5769996643,31.4373722076
476,30.5100002289,32.8662719727
477,32.2000007629,33.6029129028
478,31.716999054,34.1926116943
479,33.2459983826,34.4988632202
480,33.9710006714,30.6121501923
481,34.2130012512,34.2142868042
482,34.2130012512,34.4330062866
483,34.8559989929,33.9500694275
484,34.9370002747,34.1139297485
485,35.0979995728,34.9528121948
486,36.4659996033,35.9674453735
487,37.5929985046,37.0113220215
488,37.5130004883,37.4011917114
489,33.2459983826,35.7465209961
490,26.4839992523,30.0145263672
491,23.5869998932,25.9729099274
492,24.5520000458,24.9982852936
493,25.6800003052,25.3392524719
494,26.0009994507,26.3977546692
495,28.3360004425,28.5706157684
496,30.107000351,30.6853351593
497,30.6700000763,31.800195694
498,31.8780002594,32.4386558533
499,32.5219993591,32.550567627
500,31.5559997559,32.4393539429
501,31.313999176,32.3056259155
502,32.0390014648,32.2324142456
503,32.5219993591,32.218914032
504,32.2799987793,32.2641563416
505,32.0390014648,32.3679428101
506,31.7980003357,32.5297088623
507,31.9580001831,32.7427749634
508,31.3950004578,32.95104599
509,31.6359996796,33.0300064087
510,31.1529998779,32.7917671204
511,30.9930000305,31.8555660248
512,31.0729999542,30.1771526337
513,29.8649997711,29.1465549469
514,27.2089996338,28.8069458008
515,27.4510002136,28.7898044586
516,26.6459999084,28.9681472778
517,26.6459999084,29.2276115417
518,26.0009994507,29.5120811462
519,27.2889995575,29.9912090302
520,27.9340000153,27.4128894806
521,28.2549991608,28.7848339081
522,28.9799995422,28.9616374969
523,29.2220001221,29.2335662842
524,29.4629993439,29.0429725647
525,29.3020000458,29.1224422455
526,28.0939998627,28.972826004
527,28.2549991608,28.3329868317
528,27.3700008392,27.3141288757
529,25.517999649,26.1107807159
530,25.1959991455,25.0437450409
531,23.9090003967,23.9625835419
532,21.8959999084,22.7989215851
533,20.4470005035,21.7359752655
534,21.2520008087,21.0687427521
535,21.5739994049,21.1565608978
536,21.4930000305,21.6938018799
537,22.1369991302,22.0007743835
538,22.5400009155,22.0765895844
539,21.3330001831,21.9018917084
540,21.5739994049,21.5445976257
541,21.4930000305,20.7262916565
542,20.6079998016,20.6966705322
543,22.3789997101,20.7166538239
544,21.8159999847,20.5283660889
