ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
156,10,2016,3,1,2.5,0,22.0,10.1,1,-6.537
157,13,2016,3,1,2.5,0,22.0,10.1,1,2.079
158,14,2016,3,1,2.5,0,22.0,10.1,1,0.995
159,15,2016,3,1,2.5,0,22.0,10.1,1,1.84
160,17,2016,3,1,2.5,0,22.0,10.1,1,0.961
161,18,2016,3,1,2.5,0,22.0,10.1,1,1.537
162,19,2016,3,1,2.5,0,22.0,10.1,1,1.631
163,20,2016,3,1,2.5,0,22.0,10.1,1,1.758
164,21,2016,3,1,2.5,0,22.0,10.1,1,2.718
165,0,2016,3,1,2.75,0,22.0,10.1,1,-17.871
166,3,2016,3,1,2.75,0,22.0,10.1,1,0.684
167,4,2016,3,1,2.75,0,22.0,10.1,1,0.154
168,5,2016,3,1,2.75,0,22.0,10.1,1,4.258
169,8,2016,3,1,2.75,0,22.0,10.1,1,-5.124
170,9,2016,3,1,2.75,0,22.0,10.1,1,-6.625
171,10,2016,3,1,2.75,0,22.0,10.1,1,-6.146
172,13,2016,3,1,2.75,0,22.0,10.1,1,1.903
173,14,2016,3,1,2.75,0,22.0,10.1,1,0.756
174,15,2016,3,1,2.75,0,22.0,10.1,1,1.764
175,17,2016,3,1,2.75,0,22.0,10.1,1,1.024
176,18,2016,3,1,2.75,0,22.0,10.1,1,1.52
177,19,2016,3,1,2.75,0,22.0,10.1,1,1.479
178,20,2016,3,1,2.75,0,22.0,10.1,1,2.137
179,21,2016,3,1,2.75,0,22.0,10.1,1,2.213
180,0,2016,3,1,3.0,0,22.0,10.1,1,-17.629
181,3,2016,3,1,3.0,0,22.0,10.1,1,0.684
182,4,2016,3,1,3.0,0,22.0,10.1,1,0.137
183,5,2016,3,1,3.0,0,22.0,10.1,1,3.95
184,8,2016,3,1,3.0,0,22.0,10.1,1,-4.782
185,9,2016,3,1,3.0,0,22.0,10.1,1,-6.661
186,10,2016,3,1,3.0,0,22.0,10.1,1,-6.146
187,13,2016,3,1,3.0,0,22.0,10.1,1,1.89
