ID,site,year,month,day,hour,holiday,maxtemp,mintemp,weatherType,load
124,0.381,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,4.996
125,0.429,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,7.503
126,0.476,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,6.78
127,0.619,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,2.054
128,0.667,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,1.273
129,0.714,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,1.802
130,0.81,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,0.986
131,0.857,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,1.671
132,0.905,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,1.618
133,0.952,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,2.213
134,1.0,0.0,0.0,0.0,0.084,0.0,0.812,0.27,0.0,3.047
135,0.0,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,19.32
136,0.143,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,0.718
137,0.19,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,0.222
138,0.238,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,4.155
139,0.381,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,5.081
140,0.429,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,7.54
141,0.476,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,6.683
142,0.619,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,1.991
143,0.667,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,1.436
144,0.714,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,1.865
145,0.81,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,1.049
146,0.857,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,1.567
147,0.905,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,1.707
148,0.952,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,1.985
149,1.0,0.0,0.0,0.0,0.095,0.0,0.812,0.27,0.0,2.364
150,0.0,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,18.837
151,0.143,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,0.718
152,0.19,0.0,0.0,0.0,0.105,0.0,0.812,0.27,0.0,0.188
