ID,hour,holiday,maxtemp,mintemp,load
307,0.2,0,0.775,0.58,17.549
308,0.211,0,0.775,0.58,18.193
309,0.221,0,0.775,0.58,18.112
310,0.232,0,0.775,0.58,17.549
311,0.242,0,0.775,0.58,18.032
312,0.253,0,0.775,0.58,18.998
313,0.263,0,0.775,0.58,18.354
314,0.274,0,0.775,0.58,19.481
315,0.284,0,0.775,0.58,20.045
316,0.295,0,0.775,0.58,20.93
317,0.305,0,0.775,0.58,21.413
318,0.316,0,0.775,0.58,23.345
319,0.326,0,0.775,0.58,23.747
320,0.337,0,0.775,0.58,26.082
321,0.347,0,0.775,0.58,30.51
322,0.358,0,0.775,0.58,31.717
323,0.368,0,0.775,0.58,33.569
324,0.379,0,0.775,0.58,33.246
325,0.389,0,0.775,0.58,33.569
326,0.4,0,0.775,0.58,33.729
327,0.411,0,0.775,0.58,33.971
328,0.421,0,0.775,0.58,34.856
329,0.432,0,0.775,0.58,34.615
330,0.442,0,0.775,0.58,34.293
331,0.453,0,0.775,0.58,34.856
332,0.463,0,0.775,0.58,36.145
333,0.474,0,0.775,0.58,36.95
334,0.484,0,0.775,0.58,36.95
335,0.495,0,0.775,0.58,35.984
336,0.505,0,0.775,0.58,29.785
337,0.516,0,0.775,0.58,25.76
338,0.526,0,0.775,0.58,26.726
339,0.537,0,0.775,0.58,25.438
340,0.547,0,0.775,0.58,26.806
341,0.558,0,0.775,0.58,29.302
342,0.568,0,0.775,0.58,30.188
343,0.579,0,0.775,0.58,32.2
344,0.589,0,0.775,0.58,32.039
345,0.6,0,0.775,0.58,31.556
346,0.611,0,0.775,0.58,33.005
347,0.621,0,0.775,0.58,31.878
348,0.632,0,0.775,0.58,31.958
349,0.642,0,0.775,0.58,32.522
350,0.653,0,0.775,0.58,32.441
351,0.663,0,0.775,0.58,33.488
352,0.674,0,0.775,0.58,32.522
353,0.684,0,0.775,0.58,32.683
354,0.695,0,0.775,0.58,33.005
355,0.705,0,0.775,0.58,32.28
356,0.716,0,0.775,0.58,31.878
357,0.726,0,0.775,0.58,30.67
358,0.737,0,0.775,0.58,31.798
359,0.747,0,0.775,0.58,30.026
360,0.758,0,0.775,0.58,28.014
361,0.768,0,0.775,0.58,27.531
362,0.779,0,0.775,0.58,26.565
363,0.789,0,0.775,0.58,27.209
364,0.8,0,0.775,0.58,27.531
365,0.811,0,0.775,0.58,28.98
366,0.821,0,0.775,0.58,29.141
367,0.832,0,0.775,0.58,30.429
368,0.842,0,0.775,0.58,28.739
369,0.853,0,0.775,0.58,28.819
370,0.863,0,0.775,0.58,29.463
371,0.874,0,0.775,0.58,28.417
372,0.884,0,0.775,0.58,28.658
373,0.895,0,0.775,0.58,27.289
374,0.905,0,0.775,0.58,26.968
375,0.916,0,0.775,0.58,25.68
376,0.926,0,0.775,0.58,25.196
377,0.937,0,0.775,0.58,24.392
378,0.947,0,0.775,0.58,22.54
379,0.958,0,0.775,0.58,22.137
380,0.968,0,0.775,0.58,22.942
381,0.979,0,0.775,0.58,22.299
382,0.989,0,0.775,0.58,22.621
383,1,0,0.775,0.58,22.942
384,0,1,0.906,0.63,22.781
385,0.011,1,0.906,0.63,22.701
386,0.021,1,0.906,0.63,22.942
387,0.032,1,0.906,0.63,22.218
388,0.042,1,0.906,0.63,21.413
389,0.053,1,0.906,0.63,20.528
390,0.063,1,0.906,0.63,20.93
391,0.074,1,0.906,0.63,21.01
392,0.084,1,0.906,0.63,19.562
393,0.095,1,0.906,0.63,20.528
394,0.105,1,0.906,0.63,20.366
395,0.116,1,0.906,0.63,19.562
396,0.126,1,0.906,0.63,19.803
397,0.137,1,0.906,0.63,20.045
398,0.147,1,0.906,0.63,19.964
399,0.158,1,0.906,0.63,19.159
400,0.168,1,0.906,0.63,18.434
401,0.179,1,0.906,0.63,18.595
402,0.189,1,0.906,0.63,18.274
403,0.2,1,0.906,0.63,18.193
404,0.211,1,0.906,0.63,18.917
405,0.221,1,0.906,0.63,18.917
406,0.232,1,0.906,0.63,17.791
407,0.242,1,0.906,0.63,17.629
408,0.253,1,0.906,0.63,18.434
409,0.263,1,0.906,0.63,18.998
410,0.274,1,0.906,0.63,19.159
411,0.284,1,0.906,0.63,19.562
412,0.295,1,0.906,0.63,19.562
413,0.305,1,0.906,0.63,21.413
414,0.316,1,0.906,0.63,23.264
415,0.326,1,0.906,0.63,25.035
416,0.337,1,0.906,0.63,26.404
417,0.347,1,0.906,0.63,29.543
418,0.358,1,0.906,0.63,32.441
419,0.368,1,0.906,0.63,32.764
420,0.379,1,0.906,0.63,33.89
421,0.389,1,0.906,0.63,34.454
422,0.4,1,0.906,0.63,33.971
423,0.411,1,0.906,0.63,33.327
424,0.421,1,0.906,0.63,35.098
425,0.432,1,0.906,0.63,34.293
426,0.442,1,0.906,0.63,34.213
427,0.453,1,0.906,0.63,35.017
428,0.463,1,0.906,0.63,35.903
429,0.474,1,0.906,0.63,38.076
430,0.484,1,0.906,0.63,37.916
431,0.495,1,0.906,0.63,34.454
432,0.505,1,0.906,0.63,28.175
433,0.516,1,0.906,0.63,26.323
434,0.526,1,0.906,0.63,25.438
435,0.537,1,0.906,0.63,26.484
436,0.547,1,0.906,0.63,25.599
437,0.558,1,0.906,0.63,28.175
438,0.568,1,0.906,0.63,29.785
439,0.579,1,0.906,0.63,31.395
440,0.589,1,0.906,0.63,32.119
441,0.6,1,0.906,0.63,32.603
442,0.611,1,0.906,0.63,31.073
443,0.621,1,0.906,0.63,32.2
444,0.632,1,0.906,0.63,31.476
445,0.642,1,0.906,0.63,31.476
446,0.653,1,0.906,0.63,30.51
447,0.663,1,0.906,0.63,30.831
448,0.674,1,0.906,0.63,31.395
449,0.684,1,0.906,0.63,31.556
450,0.695,1,0.906,0.63,31.878
451,0.705,1,0.906,0.63,31.476
452,0.716,1,0.906,0.63,30.912
453,0.726,1,0.906,0.63,30.59
454,0.737,1,0.906,0.63,31.073
455,0.747,1,0.906,0.63,29.543
456,0.758,1,0.906,0.63,27.611
457,0.768,1,0.906,0.63,26.968
458,0.779,1,0.906,0.63,27.289
459,0.789,1,0.906,0.63,26.484
460,0.8,1,0.906,0.63,26.484
461,0.811,1,0.906,0.63,27.531
462,0.821,1,0.906,0.63,28.658
463,0.832,1,0.906,0.63,28.658
464,0.842,1,0.906,0.63,28.819
465,0.853,1,0.906,0.63,28.497
466,0.863,1,0.906,0.63,28.336
467,0.874,1,0.906,0.63,27.934
468,0.884,1,0.906,0.63,27.37
469,0.895,1,0.906,0.63,26.484
470,0.905,1,0.906,0.63,25.84
471,0.916,1,0.906,0.63,24.311
